,Opened,Closed,Type,Entry Price,Exit Price,Amount,Profit,Balance
0,2018-12-22 22:00:00,2018-12-24 22:00:00,long,116.98,144.86,7500799,209.12227612000007,2594.3762992754027
1,2019-04-26 23:00:00,2019-04-28 23:00:00,long,160.95,163.13,13237453,28.85764754000009,2610.1610669561296
2,2019-08-07 20:00:00,2019-08-10 09:00:00,short,224.51,213.55,7100226,77.81847695999986,2861.339742568577
3,2016-09-06 23:00:00,2016-09-07 18:00:00,long,11.773,11.6,7165475,-1.2396271750000003,122.72309013650013
4,2017-09-12 18:00:00,2017-09-12 20:00:00,short,287.1,296.2,508221,-4.624811099999984,443.6473765950003
5,2019-02-27 23:00:00,2019-02-28 11:00:00,short,137.71,140.54,7171300,-20.294778999999885,2726.6063514987263
6,2017-02-08 13:00:00,2017-02-08 16:00:00,short,11.18,11.35,5627324,-0.9566450799999996,93.27499516000013
7,2018-01-15 11:00:00,2018-01-17 23:00:00,short,1298.1,1021.6,158581,43.84764649999998,650.2496893950008
8,2019-02-21 10:00:00,2019-02-22 03:00:00,short,146.86714802,149.03,7272807,-15.730005020107852,2873.3345167187267
9,2016-07-30 22:00:00,2016-08-10 16:00:00,short,12.566,12.32,7149400,1.75875239999999,131.4092823735001
10,2017-10-16 20:00:00,2017-10-18 23:00:00,short,333.49,313.45,654607,13.118324280000012,478.23758184500053
11,2019-09-13 23:00:00,2019-09-18 23:00:00,long,181.65,210.9,13736896,401.804208,3286.552272905938
12,2016-05-26 13:00:00,2016-05-28 12:00:00,short,12.378,11.81,3280474,1.8633092319999984,104.81635053650001
13,2019-12-20 14:00:00,2019-12-20 14:00:00,long,129.05,127.55,23364799,-35.04719850000033,3469.672592003333
14,2019-04-23 21:00:00,2019-04-25 17:00:00,short,173.9,166.1,12877041,100.44091980000016,2646.5665161719353
15,2017-11-29 12:00:00,2017-11-29 14:00:00,long,508.02,490.0,292416,-5.2693363199999945,521.6638430850006
16,2016-09-27 06:00:00,2016-09-29 06:00:00,long,13.008,13.151,7000602,1.0010860860000048,111.61059258950006
17,2017-01-19 05:00:00,2017-01-22 12:00:00,long,10.279000000000002,10.777,5537207,2.757529085999996,101.87352690200011
18,2018-08-23 23:00:00,2018-08-24 13:00:00,long,275.86246819,270.2,2509522,-14.210088497105248,1406.798489019776
19,2019-08-10 10:00:00,2019-08-10 10:00:00,long,212.65645192,210.3,12142576,-28.61339652894537,2832.7263460396307
20,2017-11-06 16:00:00,2017-11-07 11:00:00,long,300.26,294.3,803445,-4.788532199999984,474.0648586950007
21,2017-04-20 17:00:00,2017-04-22 00:00:00,long,51.978,51.233,1127425,-0.8399316249999971,126.33362653100002
22,2016-05-26 13:00:00,2016-05-28 12:00:00,short,12.378,11.81,3280474,1.8633092319999984,104.81635053650001
