Pair,Opened,Closed,Type,Entry Price,Exit Price,Amount,Profit,Balance
XBT/USD,2015-11-11 21:00:00,2015-11-11 22:00:00,short,311.05,311.05,14232.0,0.0,100.0
XBT/USD,2015-11-12 05:00:00,2015-11-12 05:00:00,long,334.99,334.99,13218.0,0.0,100.0
XBT/USD,2015-11-12 06:00:00,2015-11-12 09:00:00,long,335.0,335.0,12469.0,0.0,100.0
XBT/USD,2015-11-12 10:00:00,2015-11-12 17:00:00,long,336.0,326.0,11290.0,-1.030711364300324,98.96928863569967
XBT/USD,2015-11-13 03:00:00,2015-11-13 06:00:00,long,338.29,330.5,14539.0,-1.013004490100589,97.95628414559908
XBT/USD,2015-11-14 15:00:00,2015-11-14 21:00:00,short,331.95,336.0,26977.0,-0.9795728164740835,96.976711329125
XBT/USD,2015-11-15 13:00:00,2015-11-15 13:00:00,short,320.72,320.72,26700.0,0.0,96.976711329125
XBT/USD,2015-11-15 14:00:00,2015-11-15 15:00:00,short,320.69,320.69,23451.0,0.0,96.976711329125
XBT/USD,2015-11-15 16:00:00,2015-11-16 04:00:00,short,322.58,322.58,23144.0,0.0,96.976711329125
XBT/USD,2015-11-16 05:00:00,2015-11-16 16:00:00,short,321.2200000000001,325.0,26783.0,-0.969761821516983,96.00694950760801
XBT/USD,2015-11-16 17:00:00,2015-11-16 17:00:00,long,333.72,330.0,28742.0,-0.9708759656979851,95.03607354191003
XBT/USD,2015-11-16 18:00:00,2015-11-18 04:00:00,long,331.55,331.55,25795.0,0.0,95.03607354191003
XBT/USD,2015-11-18 06:00:00,2015-11-18 12:00:00,short,332.05,336.0,26843.0,-0.9503539520009192,94.0857195899091
XBT/USD,2015-11-18 21:00:00,2015-11-18 22:00:00,long,338.87,335.0,27918.0,-0.9517378433767407,93.13398174653236
XBT/USD,2015-11-18 23:00:00,2015-11-19 06:00:00,long,336.5,332.5,26364.0,-0.9425286842663954,92.19145306226596
XBT/USD,2015-11-19 08:00:00,2015-11-21 06:00:00,short,333.87,326.58,25190.0,1.684180807683391,93.87563386994935
XBT/USD,2015-11-21 07:00:00,2015-11-22 10:00:00,long,327.16,323.5,27453.0,-0.9493719827212379,92.92626188722812
XBT/USD,2015-11-22 12:00:00,2015-11-22 20:00:00,short,323.4,323.4,27298.0,0.0,92.92626188722812
XBT/USD,2015-11-22 21:00:00,2015-11-23 11:00:00,short,323.76,327.5,26345.0,-0.9292558619427844,91.99700602528534
XBT/USD,2015-11-24 02:00:00,2015-11-24 11:00:00,short,319.5,323.5,23772.0,-0.9199846166126103,91.07702140867273
XBT/USD,2015-11-24 23:00:00,2015-11-25 05:00:00,short,319.8,319.8,25466.0,0.0,91.07702140867273
XBT/USD,2015-11-25 06:00:00,2015-11-25 10:00:00,short,319.65,323.5,24462.0,-0.9107594739319621,90.16626193474077
XBT/USD,2015-11-25 12:00:00,2015-11-28 10:00:00,long,327.53,355.77,24002.0,5.816901567359497,95.98316350210027
XBT/USD,2015-11-28 11:00:00,2015-11-28 22:00:00,short,355.41,360.0,26756.0,-0.9598463746095948,95.02331712749067
XBT/USD,2015-11-29 00:00:00,2015-11-29 03:00:00,long,359.69,355.5,29341.0,-0.9614372964311078,94.06187983105956
XBT/USD,2015-11-29 11:00:00,2015-12-01 07:00:00,long,361.96,361.96,27631.0,0.0,94.06187983105956
XBT/USD,2015-12-01 08:00:00,2015-12-01 17:00:00,short,366.7,366.7,24210.0,0.0,94.06187983105956
XBT/USD,2015-12-01 18:00:00,2015-12-02 16:00:00,short,364.66,364.66,21761.0,0.0,94.06187983105956
XBT/USD,2015-12-02 19:00:00,2015-12-03 07:00:00,long,361.19,361.19,29287.0,0.0,94.06187983105956
XBT/USD,2015-12-03 08:00:00,2015-12-03 09:00:00,long,363.63,359.5,30115.0,-0.9514244732940634,93.11045535776549
XBT/USD,2015-12-04 01:00:00,2015-12-04 02:00:00,short,354.87999999999994,359.0,28792.0,-0.9310930321929379,92.17936232557255
XBT/USD,2015-12-04 03:00:00,2015-12-04 07:00:00,short,358.35,358.35,28854.0,0.0,92.17936232557255
