,Pair,Opened,Closed,Type,Entry Price,Exit Price,Amount,Profit,Balance
0,XBT/USD,2018-02-14 05:00:00,2018-02-16 13:00:00,long,8841.5,9835.5,2625628.0,30.01215533040432,478.40899153244163
1,XBT/USD,2020-01-10 15:00:00,2020-01-10 15:00:00,long,8065.0,7974.5,8715865.0,-12.26453932106982,1200.4268898759212
2,XBT/USD,2016-12-16 07:00:00,2016-12-18 14:00:00,long,782.52,784.72,86819.0,0.31104791337165866,128.1992575525785
3,XBT/USD,2017-08-26 04:00:00,2017-08-26 06:00:00,short,4287.2,4339.5,1063789.0,-2.9904995910516314,296.05948164985864
4,XBT/USD,2016-02-01 21:00:00,2016-02-02 04:00:00,short,370.15,374.5,29500.0,-0.9257243707536088,91.6474935933165
5,XBT/USD,2018-06-07 02:00:00,2018-06-08 03:00:00,long,7715.0,7642.5,3696321.0,-4.5450253352218155,551.2579335603126
6,XBT/USD,2019-07-30 19:00:00,2019-08-04 05:00:00,long,9610.0,10632.5,8445471.0,84.51395242092687,1099.5934964084463
7,XBT/USD,2018-02-11 09:00:00,2018-02-11 11:00:00,short,8117.0,8326.5,1490840.0,-4.621224121039317,457.5011096143909
8,XBT/USD,2018-01-08 05:00:00,2018-01-10 22:00:00,short,15923.5,14569.5,3320971.0,19.382088288685825,413.2390870855396
9,XBT/USD,2019-02-07 19:00:00,2019-02-08 08:00:00,short,3356.5,3393.5,2566762.0,-8.337825854235351,825.4448197104497
10,XBT/USD,2016-01-12 11:00:00,2016-01-14 19:00:00,short,446.25,431.87,34461.0,2.571316259386339,92.367148257161
11,XBT/USD,2020-03-02 04:00:00,2020-03-03 16:00:00,long,8644.5,8701.5,9261229.0,7.017937166389818,1271.1401379252527
12,XBT/USD,2018-01-25 04:00:00,2018-01-25 08:00:00,long,11440.5,11177.5,1945509.0,-4.001283366368711,386.9287008932524
13,XBT/USD,2016-08-11 20:00:00,2016-08-13 11:00:00,short,589.48,587.41,68356.0,0.408635954501633,127.26364777367974
14,XBT/USD,2018-10-22 00:00:00,2018-10-24 03:00:00,short,6405.5,6413.5,3657400.0,-0.7122202425817797,625.2346249660941
15,XBT/USD,2016-10-05 12:00:00,2016-10-06 04:00:00,long,611.01,608.0,64362.0,-0.5214877717566836,120.32879481301529
16,XBT/USD,2017-04-20 05:00:00,2017-04-22 10:00:00,long,1215.5,1238.0,174213.0,2.6048784912702034,161.7909917886945
17,XBT/USD,2017-06-10 11:00:00,2017-06-10 14:00:00,long,2906.2,2872.0,536069.0,-2.1965286155101316,214.8716672280471
18,XBT/USD,2016-03-07 11:00:00,2016-03-08 14:00:00,long,411.03,410.41,35949.0,-0.1321256230547157,96.2597024829998
19,XBT/USD,2016-06-27 08:00:00,2016-06-27 10:00:00,long,645.62,632.0,42977.0,-1.4345614303040657,138.9961849258303
20,XBT/USD,2015-12-04 17:00:00,2015-12-08 06:00:00,long,361.87,394.33,27622.0,6.28334978942477,98.46271211499732
21,XBT/USD,2020-01-26 08:00:00,2020-01-31 09:00:00,long,8392.5,9340.5,8439472.0,102.06154521621396,1264.3242368610815
22,XBT/USD,2019-11-12 23:00:00,2019-11-13 03:00:00,long,8818.0,8719.5,9248743.0,-11.848333381910164,1159.7500089517075
23,XBT/USD,2019-01-03 16:00:00,2019-01-04 05:00:00,short,3771.5,3814.0,3199930.0,-9.454413816648836,935.98686687494
24,XBT/USD,2017-02-11 00:00:00,2017-02-12 07:00:00,long,983.92,997.58,113480.0,1.5792922506908682,135.44383931459075
25,XBT/USD,2019-06-03 23:00:00,2019-06-06 03:00:00,short,8100.5,7860.0,3924839.0,14.825268058249808,846.6538486550244
26,XBT/USD,2018-12-06 16:00:00,2018-12-08 04:00:00,short,3603.0,3438.0,1381336.0,18.399801600275847,876.6081200751828
27,XBT/USD,2019-04-26 02:00:00,2019-04-27 11:00:00,short,5221.0,5159.0,2537514.0,5.840915393085576,806.9487478875302
28,XBT/USD,2017-12-06 00:00:00,2017-12-08 12:00:00,long,11876.5,15024.5,3118130.0,55.009847406829635,374.4468131359136
29,XBT/USD,2018-03-29 04:00:00,2018-03-31 13:00:00,short,7600.0,7032.0,2868175.0,30.483268217471995,556.8482633978044
30,XBT/USD,2016-06-20 12:00:00,2016-06-23 23:00:00,short,750.41,618.21,75221.0,21.435613569558168,141.4062010499809
31,XBT/USD,2018-02-18 09:00:00,2018-02-18 09:00:00,short,10197.0,10458.0,1934856.0,-4.735524622762906,468.81684771706483
32,XBT/USD,2020-03-26 15:00:00,2020-03-26 19:00:00,short,6621.0,6710.0,8003393.0,-16.033119949147984,1587.278788537083
33,XBT/USD,2018-01-23 19:00:00,2018-01-23 23:00:00,long,11045.0,10673.5,1310660.0,-4.130249514993183,395.0025656607631
34,XBT/USD,2017-03-23 14:00:00,2017-03-23 16:00:00,long,1044.17,1032.5,136890.0,-1.4817717402941732,145.03984909072003
35,XBT/USD,2019-01-10 06:00:00,2019-01-14 15:00:00,short,3808.0,3662.5,2431578.0,25.367439054119977,893.7420092125486
36,XBT/USD,2019-05-16 10:00:00,2019-05-16 13:00:00,short,7850.0,8012.0,3438143.0,-8.855811283075315,876.7253279891945
37,XBT/USD,2020-03-05 01:00:00,2020-03-07 17:00:00,long,8884.0,8937.5,9496011.0,6.398385260844481,1239.6394401781536
38,XBT/USD,2016-05-15 17:00:00,2016-05-16 13:00:00,long,459.24000000000007,456.61,36999.0,-0.4640455452692707,91.46285355935551
39,XBT/USD,2020-03-23 14:00:00,2020-03-26 14:00:00,long,6236.5,6601.0,2991652.0,26.488535436512574,1603.311908486231
40,XBT/USD,2016-10-26 06:00:00,2016-10-30 21:00:00,long,659.29,700.58,73272.0,6.550111688508288,129.43930568232486
41,XBT/USD,2017-11-21 04:00:00,2017-11-21 04:00:00,short,7865.0,8032.5,1166962.0,-3.0940125036381803,306.30713885016615
42,XBT/USD,2020-01-06 13:00:00,2020-01-08 19:00:00,long,7522.0,7962.5,7782855.0,57.240323246472975,1212.691429196991
43,XBT/USD,2018-09-08 10:00:00,2018-09-08 11:00:00,long,6441.5,6368.5,3644697.0,-6.4857488176468445,634.7390274873843
44,XBT/USD,2018-12-24 20:00:00,2018-12-26 03:00:00,short,4026.0,3831.0,2707045.0,34.2250557359933,1045.895564515348
45,XBT/USD,2019-07-07 20:00:00,2019-07-07 21:00:00,long,11520.0,11346.5,7682561.0,-10.197438618339238,994.1883467547729
46,XBT/USD,2019-10-07 12:00:00,2019-10-08 19:00:00,long,8123.0,8164.0,7786168.0,4.81380149626259,1102.2361533558003
47,XBT/USD,2015-12-18 05:00:00,2015-12-18 07:00:00,long,463.93,458.5,37630.0,-0.960599266881647,93.97547706187616
48,XBT/USD,2019-03-09 19:00:00,2019-03-10 05:00:00,long,3906.0,3862.5,2892460.0,-8.339804831004278,816.3528887799181
49,XBT/USD,2019-10-02 23:00:00,2019-10-03 05:00:00,long,8377.5,8284.0,8555720.0,-11.526929773408055,1128.301013094863
50,XBT/USD,2019-04-22 15:00:00,2019-04-24 10:00:00,long,5308.0,5420.5,3895446.0,15.231386826101255,824.050158140516
